Iteration,TimeElapsed(seconds)
946,1701874505.437114477
947,1701874505.439521551
948,1701874505.441937447
949,1701874505.44433713
950,1701874505.446797371
951,1701874505.449187279
952,1701874505.451600552
953,1701874505.454089403
954,1701874505.456485271
955,1701874505.458904028
956,1701874505.461340427
957,1701874505.46376276
958,1701874505.466200829
959,1701874505.468598366
960,1701874505.471046448
961,1701874505.473470926
962,1701874505.475905418
963,1701874505.478326082
964,1701874505.480716228
965,1701874505.483138323
966,1701874505.485574961
967,1701874505.4880054
968,1701874505.490437746
969,1701874505.492825747
970,1701874505.49524045
971,1701874505.497684717
972,1701874505.500093937
973,1701874505.502510071
974,1701874505.504916668
975,1701874505.507317305
976,1701874505.509747267
977,1701874505.512141466
978,1701874505.514580727
979,1701874505.517032623
980,1701874505.51943779
981,1701874505.521853209
982,1701874505.524267673
983,1701874505.526709557
984,1701874505.529118299
985,1701874505.531573772
986,1701874505.53399682
987,1701874505.536394358
988,1701874505.538798809
989,1701874505.541213512
990,1701874505.543613672
991,1701874505.546021938
992,1701874505.548415184
993,1701874505.55087924
994,1701874505.553301334
995,1701874505.555747747
996,1701874505.558200359
997,1701874505.560595751
998,1701874505.563024998
999,1701874505.565426111
1000,1701874505.567833185
